School,Athlete_Name,Product,Type,Price
Ohio State,Deontae Armstrong,Red Football Script Crew  NA,NA,54.99
Ohio State,Deontae Armstrong,Red Football Script Hoodie  NA,NA,64.99
Ohio State,Deontae Armstrong,Red Football Script Tee  NA,NA,39.99
Ohio State,Deontae Armstrong,Red Football Team Crew  NA,NA,54.99
Ohio State,Deontae Armstrong,Red Football Team Hoodie  NA,NA,64.99
Ohio State,Deontae Armstrong,Red Football Team Tee  NA,NA,39.99
Ohio State,Deontae Armstrong,Sport Grey Football The Crew  NA,NA,54.99
Ohio State,Deontae Armstrong,Sport Grey Football The Hoodie  NA,NA,64.99
Ohio State,Deontae Armstrong,Sport Grey Football The Tee  NA,NA,39.99
Ohio State,Deontae Armstrong,Football White Brutus Comfort Colors Tee  NA,NA,44.99
Ohio State,Deontae Armstrong,Football White Brutus Hoodie  NA,NA,64.99
Ohio State,Deontae Armstrong,Football Black Gridiron Crew  NA,NA,54.99
Ohio State,Deontae Armstrong,Black Football Gridiron Hoodie  NA,NA,64.99
Ohio State,Deontae Armstrong,Black Football Gridiron Tee  NA,NA,39.99
Ohio State,Deontae Armstrong,Black Ohio State Football Jersey  NA,NA,109.99
Ohio State,Hamsika Arnipalli,White Fencing Brutus Hoodie,Hoodie,64.99
Ohio State,Hamsika Arnipalli,White Fencing Brutus Comfort Colors Tee,Tee,44.99
Ohio State,Hamsika Arnipalli,Sport Grey Fencing The Tee,Tee,39.99
Ohio State,Hamsika Arnipalli,Sport Grey Fencing The Hoodie,Hoodie,64.99
Ohio State,Hamsika Arnipalli,Sport Grey Fencing The Crew,Crew,54.99
Ohio State,Hamsika Arnipalli,Red Fencing Team Tee,Tee,39.99
Ohio State,Hamsika Arnipalli,Red Fencing Team Hoodie,Hoodie,64.99
Ohio State,Hamsika Arnipalli,Red Fencing Team Crew,Crew,54.99
Ohio State,Hamsika Arnipalli,Red Fencing Script Tee,Tee,39.99
Ohio State,Hamsika Arnipalli,Red Fencing Script Hoodie,Hoodie,64.99
Ohio State,Hamsika Arnipalli,Red Fencing Script Crew,Crew,54.99
Ohio State,NA,Men's Gymnastics White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Men's Gymnastics White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Men's Gymnastics The Tee,Tee,39.99
Ohio State,NA,Sport Grey Men's Gymnastics The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Men's Gymnastics The Crew,Crew,54.99
Ohio State,NA,Red Men's Gymnastics Team Tee,Tee,39.99
Ohio State,NA,Red Men's Gymnastics Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Gymnastics Team Crew,Crew,54.99
Ohio State,NA,Red Men's Gymnastics Script Tee,Tee,39.99
Ohio State,NA,Red Men's Gymnastics Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Gymnastics Script Crew,Crew,54.99
Ohio State,Madeline Atway,Women's Tennis White Brutus Hoodie,Hoodie,64.99
Ohio State,Madeline Atway,Women's Tennis White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,Madeline Atway,Sport Grey Women's Tennis The Tee,Tee,39.99
Ohio State,Madeline Atway,Sport Grey Women's Tennis The Hoodie,Hoodie,64.99
Ohio State,Madeline Atway,Sport Grey Women's Tennis The Crew,Crew,54.99
Ohio State,Madeline Atway,Red Women's Tennis Team Tee,Tee,39.99
Ohio State,Madeline Atway,Red Women's Tennis Team Hoodie,Hoodie,64.99
Ohio State,Madeline Atway,Red Women's Tennis Team Crew,Crew,54.99
Ohio State,Madeline Atway,Red Women's Tennis Script Tee,Tee,39.99
Ohio State,Madeline Atway,Red Women's Tennis Script Hoodie,Hoodie,64.99
Ohio State,Madeline Atway,Red Women's Tennis Script Crew,Crew,54.99
Ohio State,Zella Bailey,Field Hockey White Brutus Hoodie,Hoodie,64.99
Ohio State,Zella Bailey,Field Hockey White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Field Hockey White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Field Hockey White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Field Hockey The Tee,Tee,39.99
Ohio State,NA,Sport Grey Field Hockey The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Field Hockey The Crew,Crew,54.99
Ohio State,NA,Red Field Hockey Team Tee,Tee,39.99
Ohio State,NA,Red Field Hockey Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Field Hockey Team Crew,Crew,54.99
Ohio State,NA,Red Field Hockey Script Tee,Tee,39.99
Ohio State,NA,Red Field Hockey Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Field Hockey Script Crew,Crew,54.99
Ohio State,Tim Baird  ,Ohio State Baseball Black Jersey,Jersey,99.99
Ohio State,Tim Baird,White Baseball Brutus Hoodie,Hoodie,64.99
Ohio State,Tim Baird,White Baseball Brutus Comfort Colors Tee,Tee,44.99
Ohio State,Tim Baird,Sport Grey Baseball The Tee,Tee,39.99
Ohio State,Tim Baird,Sport Grey Baseball The Hoodie,Hoodie,64.99
Ohio State,Tim Baird,Sport Grey Baseball The Crew,Crew,54.99
Ohio State,Tim Baird,Red Baseball Team Tee,Tee,39.99
Ohio State,Tim Baird,Red Baseball Team Hoodie,Hoodie,64.99
Ohio State,Tim Baird,Red Baseball Team Crew,Crew,54.99
Ohio State,Tim Baird,Red Baseball Script Tee,Tee,39.99
Ohio State,Tim Baird,Red Baseball Script Hoodie,Hoodie,64.99
Ohio State,Tim Baird,Red Baseball Script Crew,Crew,54.99
Ohio State,NA,Sport Grey Football The Hoodie,Hoodie,64.99
Ohio State,NA,Red Football Team Hoodie,Hoodie,64.99
Ohio State,NA,Ohio State Football Black Jersey,Jersey,109.99
Ohio State,NA,Football Black Gridiron Crew,Crew,54.99
Ohio State,NA,Red Football Team Crew,Crew,54.99
Ohio State,Jayden Ballard,Football Black Gridiron Tee,Tee,39.99
Ohio State,Jayden Ballard,Football Black Gridiron Hoodie,Hoodie,64.99
Ohio State,Jayden Ballard,Football Black Gridiron Crew,Crew,54.99
Ohio State,NA,Football Black Gridiron Tee,Tee,39.99
Ohio State,NA,Football Black Gridiron Hoodie,Hoodie,64.99
Ohio State,NA,Football White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Football White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Football The Tee,Tee,39.99
Ohio State,NA,Sport Grey Football The Crew,Crew,54.99
Ohio State,NA,Red Football Team Tee,Tee,39.99
Ohio State,NA,Red Football Script Tee,Tee,39.99
Ohio State,NA,Red Football Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Football Script Crew,Crew,54.99
Ohio State,NA,Swimming & Diving White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Swimming & Diving White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Swimming & Diving The Tee,Tee,39.99
Ohio State,NA,Sport Grey Swimming & Diving The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Swimming & Diving The Crew,Crew,54.99
Ohio State,NA,Red Swimming & Diving Team Tee,Tee,39.99
Ohio State,NA,Red Swimming & Diving Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Swimming & Diving Team Crew,Crew,54.99
Ohio State,NA,Red Swimming & Diving Script Tee,Tee,39.99
Ohio State,NA,Red Swimming & Diving Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Swimming & Diving Script Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Team Tee,Tee,39.99
Ohio State,Madeline Barhorst  ,Ohio State Women's Lacrosse Red Jersey,Jersey,89.99
Ohio State,NA,Women's Lacrosse White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Women's Lacrosse White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Women's Lacrosse The Tee,Tee,39.99
Ohio State,NA,Sport Grey Women's Lacrosse The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Women's Lacrosse The Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Team Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Script Tee,Tee,39.99
Ohio State,NA,Red Women's Lacrosse Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Script Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE DROP: The Ohio State Women's Ice Hockey Team Hoodie,Hoodie,54.99
Ohio State,NA,EXCLUSIVE DROP: The Ohio State Women's Ice Hockey Team Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE DROP: The Ohio State Women's Ice Hockey Team Tee,Tee,39.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Women's Ice Hockey Team Hoodie,Hoodie,64.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Women's Ice Hockey Team Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Women's Ice Hockey Team Tee,Tee,39.99
Ohio State,Cayla Barnes  ,Ohio State Women's Ice Hockey Red Jersey,Jersey,119.99
Ohio State,Cayla Barnes,Women's Ice Hockey White Brutus Hoodie,Hoodie,64.99
Ohio State,Cayla Barnes,Women's Ice Hockey White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,Cayla Barnes,Sport Grey Women's Ice Hockey The Tee,Tee,39.99
Ohio State,Cayla Barnes,Sport Grey Women's Ice Hockey The Hoodie,Hoodie,64.99
Ohio State,Cayla Barnes,Sport Grey Women's Ice Hockey The Crew,Crew,54.99
Ohio State,Cayla Barnes,Red Women's Ice Hockey Team Tee,Tee,39.99
